order_id,order_date,customer_id,payment_method,status,shipping_fee
ORD-022404,2025-11-11,CUST-02866,Credit Card,Completed,97
ORD-015603,2025-05-19,CUST-01360,COD,Completed,102
ORD-018307,2025-08-02,CUST-00385,COD,Completed,51
ORD-024182,2025-12-15,CUST-02145,GCash,Completed,99
ORD-005922,2024-08-09,CUST-09592,ShopeePay,Cancelled,49
ORD-019575,2025-09-05,CUST-04641,COD,Completed,49
ORD-017000,2025-06-28,CUST-09466,GCash,Completed,118
ORD-017695,2025-07-17,CUST-08941,COD,Cancelled,126
ORD-014045,2025-04-04,CUST-03611,Maya,Completed,125
ORD-006971,2024-09-11,CUST-09144,COD,Completed,111
ORD-004276,2024-06-10,CUST-11089,GCash,Completed,158
ORD-017379,2025-07-09,CUST-11572,GCash,Completed,140
ORD-014407,2025-04-15,CUST-05824,ShopeePay,Completed,92
ORD-012126,2025-02-07,CUST-08774,GCash,Completed,133
ORD-003406,2024-05-09,CUST-02862,COD,Returned,89
ORD-020046,2025-09-14,CUST-01211,GCash,Completed,168
ORD-002835,2024-04-19,CUST-05594,COD,Cancelled,61
ORD-022819,2025-11-19,CUST-05790,GCash,Completed,122
ORD-016343,2025-06-10,CUST-08037,COD,Completed,99
ORD-004389,2024-06-15,CUST-03119,COD,Completed,51
ORD-015343,2025-05-12,CUST-06290,GCash,Cancelled,65
ORD-011653,2025-01-24,CUST-04913,COD,Cancelled,69
ORD-017544,2025-07-13,CUST-01549,COD,Completed,119
ORD-012025,2025-02-03,CUST-03724,ShopeePay,Completed,54
ORD-021261,2025-10-13,CUST-09871,GCash,Completed,89
ORD-009190,2024-11-18,CUST-11479,Bank Transfer,Returned,93
ORD-017849,2025-07-22,CUST-09144,GCash,Completed,142
ORD-002973,2024-04-24,CUST-06546,GCash,Completed,95
ORD-012701,2025-02-23,CUST-04538,COD,Completed,101
ORD-010197,2024-12-13,CUST-10537,Maya,Completed,75
ORD-010934,2024-12-31,CUST-04545,GCash,Completed,61
ORD-009809,2024-12-07,CUST-00785,GCash,Completed,154
ORD-004913,2024-07-04,CUST-09513,GCash,Completed,140
ORD-020285,2025-09-20,CUST-04061,COD,Completed,75
ORD-001685,2024-03-08,CUST-01294,COD,Completed,101
ORD-011838,2025-01-30,CUST-00617,COD,Returned,101
ORD-011050,2025-01-04,CUST-01584,COD,Completed,92
ORD-007481,2024-09-28,CUST-03729,COD,Completed,126
ORD-000479,2024-01-19,CUST-07492,ShopeePay,Completed,114
ORD-002289,2024-03-29,CUST-07312,GCash,Completed,167
ORD-021693,2025-10-24,CUST-02753,GCash,Completed,66
ORD-004355,2024-06-13,CUST-09075,COD,Cancelled,80
ORD-000691,2024-01-28,CUST-02118,COD,Returned,72
ORD-010826,2024-12-29,CUST-11926,GCash,Completed,94
ORD-015101,2025-05-05,CUST-01588,Unknown,Completed,124
ORD-017173,2025-07-03,CUST-01374,ShopeePay,Completed,139
ORD-015985,2025-05-30,CUST-09781,ShopeePay,Completed,75
ORD-012702,2025-02-23,CUST-04561,GCash,Completed,144
ORD-008698,2024-11-05,CUST-07422,GCash,Cancelled,57
ORD-016724,2025-06-21,CUST-11265,COD,Returned,130
ORD-023765,2025-12-11,CUST-08458,Maya,Completed,91
ORD-010323,2024-12-15,CUST-04306,ShopeePay,Completed,89
ORD-013025,2025-03-05,CUST-02329,Credit Card,Completed,98
ORD-010543,2024-12-21,CUST-03990,COD,Completed,151
ORD-018427,2025-08-05,CUST-04708,ShopeePay,Cancelled,137
ORD-019416,2025-08-31,CUST-00444,COD,Completed,125
ORD-009945,2024-12-10,CUST-05226,Credit Card,Completed,110
ORD-015337,2025-05-12,CUST-06234,COD,Completed,105
ORD-010968,2025-01-02,CUST-05188,GCash,Completed,83
ORD-007885,2024-10-10,CUST-11754,Bank Transfer,Completed,107
ORD-017458,2025-07-11,CUST-10169,COD,Completed,120
ORD-012929,2025-03-02,CUST-00881,COD,Completed,102
ORD-024336,2025-12-18,CUST-07805,GCash,Completed,70
ORD-020615,2025-09-29,CUST-04936,COD,Completed,61
ORD-010420,2024-12-18,CUST-07047,GCash,Completed,82
ORD-010586,2024-12-23,CUST-11137,Bank Transfer,Completed,59
ORD-010262,2024-12-15,CUST-07828,COD,Completed,115
ORD-021871,2025-10-29,CUST-00889,Credit Card,Completed,128
ORD-017587,2025-07-15,CUST-08441,GCash,Returned,101
ORD-010392,2024-12-17,CUST-08878,Bank Transfer,Completed,128
ORD-012941,2025-03-02,CUST-10226,Credit Card,Cancelled,102
ORD-006693,2024-09-03,CUST-11326,GCash,Completed,63
ORD-010310,2024-12-15,CUST-11272,COD,Completed,174
ORD-019721,2025-09-08,CUST-11618,COD,Completed,156
ORD-013854,2025-03-29,CUST-09854,COD,Completed,54
ORD-002057,2024-03-21,CUST-10165,GCash,Completed,172
ORD-014797,2025-04-27,CUST-08878,COD,Completed,121
ORD-019869,2025-09-10,CUST-08312,ShopeePay,Completed,77
ORD-002470,2024-04-06,CUST-04388,COD,Cancelled,75
ORD-001171,2024-02-15,CUST-02837,ShopeePay,Cancelled,60
ORD-014649,2025-04-23,CUST-11999,COD,Cancelled,64
ORD-016144,2025-06-04,CUST-06061,COD,Completed,104
ORD-020675,2025-09-30,CUST-00132,GCash,Completed,90
ORD-014999,2025-05-03,CUST-10150,COD,Completed,107
ORD-006770,2024-09-06,CUST-06484,GCash,Completed,76
ORD-004921,2024-07-05,CUST-05834,GCash,Completed,64
ORD-009111,2024-11-15,CUST-04816,Unknown,Completed,121
ORD-007133,2024-09-15,CUST-09009,Credit Card,Completed,104
ORD-012452,2025-02-15,CUST-09778,COD,Cancelled,125
ORD-021915,2025-10-30,CUST-01738,COD,Cancelled,165
ORD-014895,2025-04-30,CUST-02857,COD,Completed,65
ORD-010683,2024-12-25,CUST-10636,GCash,Completed,115
ORD-010137,2024-12-12,CUST-02606,Credit Card,Completed,59
ORD-008129,2024-10-17,CUST-03310,GCash,Completed,50
ORD-024188,2025-12-15,CUST-09671,Bank Transfer,Completed,78
ORD-020425,2025-09-23,CUST-11433,GCash,Returned,130
ORD-016186,2025-06-06,CUST-05970,GCash,Completed,118
ORD-013778,2025-03-27,CUST-00177,ShopeePay,Completed,159
ORD-001332,2024-02-22,CUST-08883,GCash,Completed,85
ORD-023184,2025-11-28,CUST-10825,GCash,Completed,95
ORD-007515,2024-09-29,CUST-10510,ShopeePay,Completed,154
ORD-021301,2025-10-14,CUST-11503,COD,Cancelled,146
ORD-003201,2024-05-02,CUST-05587,COD,Completed,79
ORD-007856,2024-10-10,CUST-01299,Maya,Completed,51
ORD-007378,2024-09-24,CUST-03815,COD,Completed,63
ORD-014309,2025-04-13,CUST-09184,ShopeePay,Completed,115
ORD-018452,2025-08-06,CUST-10978,Bank Transfer,Completed,77
ORD-016207,2025-06-06,CUST-04607,GCash,Completed,121
ORD-008599,2024-11-03,CUST-01260,COD,Completed,63
ORD-004084,2024-06-02,CUST-00035,GCash,Completed,50
ORD-017444,2025-07-11,CUST-11292,GCash,Completed,139
ORD-015305,2025-05-11,CUST-10762,COD,Cancelled,51
ORD-007695,2024-10-05,CUST-10612,COD,Completed,114
ORD-011793,2025-01-28,CUST-07915,Credit Card,Completed,105
ORD-011875,2025-01-30,CUST-01368,COD,Cancelled,81
ORD-011348,2025-01-14,CUST-02885,GCash,Completed,110
ORD-001584,2024-03-04,CUST-05753,Credit Card,Completed,52
ORD-001005,2024-02-09,CUST-02691,COD,Completed,80
ORD-001710,2024-03-09,CUST-04901,Maya,Completed,98
ORD-013517,2025-03-19,CUST-04509,COD,Returned,79
ORD-017369,2025-07-09,CUST-02671,COD,Completed,125
ORD-010203,2024-12-13,CUST-07794,GCash,Completed,98
ORD-007393,2024-09-25,CUST-00854,Maya,Completed,111
ORD-011072,2025-01-05,CUST-06551,GCash,Returned,60
ORD-017514,2025-07-12,CUST-00713,COD,Completed,67
ORD-018907,2025-08-18,CUST-05948,Bank Transfer,Completed,80
ORD-022468,2025-11-11,CUST-06027,Maya,Completed,98
ORD-009359,2024-11-24,CUST-08388,COD,Returned,97
ORD-023241,2025-11-30,CUST-02643,COD,Cancelled,65
ORD-011132,2025-01-07,CUST-09064,COD,Completed,52
ORD-013967,2025-04-01,CUST-02804,Credit Card,Completed,53
ORD-020021,2025-09-13,CUST-01578,GCash,Completed,174
ORD-003296,2024-05-05,CUST-00792,COD,Completed,79
ORD-006599,2024-08-31,CUST-08132,Maya,Completed,88
ORD-011048,2025-01-04,CUST-05142,COD,Completed,91
ORD-002161,2024-03-24,CUST-02112,GCash,Cancelled,101
ORD-003023,2024-04-26,CUST-04243,COD,Completed,49
ORD-015613,2025-05-19,CUST-04609,ShopeePay,Cancelled,111
ORD-020913,2025-10-06,CUST-07313,Bank Transfer,Completed,174
ORD-024078,2025-12-14,CUST-02665,COD,Completed,147
ORD-020780,2025-10-03,CUST-05143,COD,Cancelled,139
ORD-014915,2025-04-30,CUST-10164,GCash,Completed,144
ORD-007748,2024-10-06,CUST-03370,COD,Returned,102
ORD-023541,2025-12-06,CUST-03695,ShopeePay,Completed,112
ORD-007754,2024-10-06,CUST-02928,COD,Completed,94
ORD-014578,2025-04-21,CUST-08710,ShopeePay,Completed,134
ORD-005195,2024-07-15,CUST-07220,GCash,Returned,106
ORD-000598,2024-01-24,CUST-00377,COD,Completed,79
ORD-007859,2024-10-10,CUST-05971,GCash,Completed,97
ORD-018340,2025-08-03,CUST-07174,COD,Completed,144
ORD-022133,2025-11-04,CUST-09885,GCash,Completed,60
ORD-017005,2025-06-28,CUST-10657,COD,Completed,126
ORD-013085,2025-03-07,CUST-04239,GCash,Completed,109
ORD-001543,2024-03-02,CUST-11162,ShopeePay,Completed,72
ORD-007447,2024-09-27,CUST-03578,ShopeePay,Completed,57
ORD-006887,2024-09-09,CUST-02889,GCash,Completed,147
ORD-016404,2025-06-12,CUST-01681,COD,Completed,102
ORD-005512,2024-07-27,CUST-04236,Bank Transfer,Completed,138
ORD-004634,2024-06-24,CUST-09859,Bank Transfer,Completed,120
ORD-016551,2025-06-15,CUST-07287,GCash,Completed,128
ORD-003067,2024-04-27,CUST-06566,GCash,Completed,116
ORD-001984,2024-03-18,CUST-02075,COD,Completed,128
ORD-015511,2025-05-17,CUST-09708,GCash,Completed,53
ORD-024951,2025-12-30,CUST-07197,COD,Completed,147
ORD-009631,2024-12-03,CUST-02470,GCash,Completed,94
ORD-021614,2025-10-22,CUST-05084,Bank Transfer,Completed,76
ORD-014198,2025-04-10,CUST-01432,GCash,Completed,135
ORD-015916,2025-05-28,CUST-02275,Credit Card,Completed,126
ORD-007595,2024-10-01,CUST-07583,COD,Completed,104
ORD-008024,2024-10-13,CUST-00342,ShopeePay,Completed,97
ORD-019633,2025-09-06,CUST-03173,COD,Completed,176
ORD-000447,2024-01-18,CUST-00659,COD,Completed,143
ORD-014472,2025-04-18,CUST-05491,COD,Returned,112
ORD-001327,2024-02-22,CUST-10460,COD,Completed,128
ORD-023871,2025-12-12,CUST-10038,GCash,Completed,143
ORD-003182,2024-05-01,CUST-02127,COD,Returned,149
ORD-024562,2025-12-23,CUST-02899,COD,Completed,62
ORD-009545,2024-11-30,CUST-11413,Credit Card,Completed,142
ORD-022682,2025-11-15,CUST-06707,COD,Completed,119
ORD-004918,2024-07-04,CUST-00342,COD,Completed,103
ORD-017920,2025-07-23,CUST-10609,GCash,Completed,95
ORD-018219,2025-07-31,CUST-10431,GCash,Completed,149
ORD-012075,2025-02-05,CUST-07922,COD,Returned,114
ORD-008037,2024-10-14,CUST-05566,GCash,Completed,120
ORD-005704,2024-08-02,CUST-11984,COD,Completed,109
ORD-017841,2025-07-21,CUST-03743,COD,Completed,110
ORD-009683,2024-12-04,CUST-07017,ShopeePay,Completed,174
ORD-012357,2025-02-14,CUST-00318,GCash,Completed,101
ORD-022349,2025-11-10,CUST-00587,GCash,Returned,124
ORD-008920,2024-11-11,CUST-01117,Unknown,Completed,88
ORD-023852,2025-12-12,CUST-07004,Maya,Completed,108
ORD-002552,2024-04-09,CUST-06307,GCash,Completed,81
ORD-013340,2025-03-14,CUST-04266,Credit Card,Completed,113
ORD-003158,2024-04-30,CUST-03072,COD,Completed,169
ORD-023611,2025-12-07,CUST-00414,GCash,Completed,114
ORD-017582,2025-07-14,CUST-10568,COD,Completed,64
ORD-001992,2024-03-18,CUST-06832,GCash,Cancelled,144
ORD-019280,2025-08-29,CUST-11498,Credit Card,Completed,60
ORD-008079,2024-10-15,CUST-01293,Bank Transfer,Completed,105
